Year,StateAbbr,StateDesc,LocationName,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text,Geolocation,States,Counties
2020,TN,Tennessee,Jackson,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,%,Crude prevalence,10.6,,,9.6,11.6,11864,47087,HLTHOUT,CHD,CrdPrv,Coronary Heart Disease,POINT (-85.6741278 36.3542499),39,2010
2020,TN,Tennessee,Jackson,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,%,Crude prevalence,30,,,26.9,33.2,11864,47087,RISKBEH,LPA,CrdPrv,Physical Inactivity,POINT (-85.6741278 36.3542499),39,2010
2020,TN,Tennessee,Jackson,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,38.2,,,36.4,40.0,11864,47087,HLTHOUT,OBESITY,CrdPrv,Obesity,POINT (-85.6741278 36.3542499),39,2010
2020,TN,Tennessee,Jackson,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Age-adjusted prevalence,28.8,,,27.5,30.2,11864,47087,HLTHOUT,ARTHRITIS,AgeAdjPrv,Arthritis,POINT (-85.6741278 36.3542499),39,2010
2020,TN,Tennessee,Jackson,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,%,Age-adjusted prevalence,27.8,,,25.0,30.8,11864,47087,RISKBEH,LPA,AgeAdjPrv,Physical Inactivity,POINT (-85.6741278 36.3542499),39,2010
2020,TN,Tennessee,Jackson,BRFSS,Health Status,Fair or poor self-rated health status among adults aged >=18 years,%,Age-adjusted prevalence,19.1,,,16.8,21.9,11864,47087,HLTHSTAT,GHLTH,AgeAdjPrv,General Health,POINT (-85.6741278 36.3542499),39,2010
2020,TN,Tennessee,Jackson,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,8.5,,,8.0,9.0,11864,47087,HLTHOUT,CANCER,CrdPrv,Cancer (except skin),POINT (-85.6741278 36.3542499),39,2010
2020,TN,Tennessee,Jackson,BRFSS,Health Risk Behaviors,Binge drinking among adults aged >=18 years,%,Crude prevalence,12.5,,,11.9,13.2,11864,47087,RISKBEH,BINGE,CrdPrv,Binge Drinking,POINT (-85.6741278 36.3542499),39,2010
2020,TN,Tennessee,Jackson,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Crude prevalence,68.9,,,63.8,73.5,11864,47087,PREVENT,MAMMOUSE,CrdPrv,Mammography,POINT (-85.6741278 36.3542499),39,2010
2020,TN,Tennessee,Jackson,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Crude prevalence,34.1,,,32.5,35.6,11864,47087,RISKBEH,SLEEP,CrdPrv,Sleep <7 hours,POINT (-85.6741278 36.3542499),39,2010
2020,TN,Tennessee,Jackson,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,37.7,,,35.8,39.6,11864,47087,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-85.6741278 36.3542499),39,2010
2019,TN,Tennessee,Jackson,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Crude prevalence,87,,,85.8,88.2,11864,47087,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening,POINT (-85.6741278 36.3542499),39,2010
2020,TN,Tennessee,Jackson,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Age-adjusted prevalence,19.8,,,16.3,23.2,11864,47087,PREVENT,ACCESS2,AgeAdjPrv,Health Insurance,POINT (-85.6741278 36.3542499),39,2010
2020,TN,Tennessee,Jackson,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults aged >=18 years,%,Crude prevalence,76.6,,,75.4,77.7,11864,47087,PREVENT,CHECKUP,CrdPrv,Annual Checkup,POINT (-85.6741278 36.3542499),39,2010
2020,TN,Tennessee,Jackson,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,%,Age-adjusted prevalence,3.1,,,2.8,3.3,11864,47087,HLTHOUT,KIDNEY,AgeAdjPrv,Chronic Kidney Disease,POINT (-85.6741278 36.3542499),39,2010
2020,TN,Tennessee,Jackson,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,6.1,,,5.8,6.4,11864,47087,HLTHOUT,CANCER,AgeAdjPrv,Cancer (except skin),POINT (-85.6741278 36.3542499),39,2010
2020,TN,Tennessee,Jackson,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Age-adjusted prevalence,52.9,,,48.4,57.4,11864,47087,PREVENT,DENTAL,AgeAdjPrv,Dental Visit,POINT (-85.6741278 36.3542499),39,2010
2020,TN,Tennessee,Jackson,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Crude prevalence,4.9,,,4.3,5.5,11864,47087,HLTHOUT,STROKE,CrdPrv,Stroke,POINT (-85.6741278 36.3542499),39,2010
2020,TN,Tennessee,Jackson,BRFSS,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",%,Age-adjusted prevalence,34,,,26.4,42.2,11864,47087,PREVENT,COREW,AgeAdjPrv,Core preventive services for older women,POINT (-85.6741278 36.3542499),39,2010
2020,TN,Tennessee,Jackson,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Age-adjusted prevalence,3.6,,,3.2,4.1,11864,47087,HLTHOUT,STROKE,AgeAdjPrv,Stroke,POINT (-85.6741278 36.3542499),39,2010
2020,TN,Tennessee,Jackson,BRFSS,Health Outcomes,Depression among adults aged >=18 years,%,Crude prevalence,26.7,,,25.3,28.3,11864,47087,HLTHOUT,DEPRESSION,CrdPrv,Depression,POINT (-85.6741278 36.3542499),39,2010
2020,TN,Tennessee,Jackson,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,%,Crude prevalence,79.9,,,77.0,82.8,11864,47087,PREVENT,CERVICAL,CrdPrv,Cervical Cancer Screening,POINT (-85.6741278 36.3542499),39,2010
2019,TN,Tennessee,Jackson,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Age-adjusted prevalence,31.9,,,30.9,33.0,11864,47087,HLTHOUT,HIGHCHOL,AgeAdjPrv,High Cholesterol,POINT (-85.6741278 36.3542499),39,2010
2020,TN,Tennessee,Jackson,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Crude prevalence,18.3,,,12.6,24.3,11864,47087,HLTHOUT,TEETHLOST,CrdPrv,All Teeth Lost,POINT (-85.6741278 36.3542499),39,2010
2020,TN,Tennessee,Jackson,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,%,Crude prevalence,13,,,11.2,14.9,11864,47087,HLTHOUT,COPD,CrdPrv,COPD,POINT (-85.6741278 36.3542499),39,2010
2020,TN,Tennessee,Jackson,BRFSS,Health Status,Physical health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,15.1,,,13.5,16.6,11864,47087,HLTHSTAT,PHLTH,CrdPrv,Physical Health,POINT (-85.6741278 36.3542499),39,2010
2020,TN,Tennessee,Jackson,BRFSS,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",%,Crude prevalence,38.9,,,29.6,48.6,11864,47087,PREVENT,COREM,CrdPrv,Core preventive services for older men,POINT (-85.6741278 36.3542499),39,2010
2020,TN,Tennessee,Jackson,BRFSS,Health Risk Behaviors,Current smoking among adults aged >=18 years,%,Age-adjusted prevalence,27.1,,,23.3,30.7,11864,47087,RISKBEH,CSMOKING,AgeAdjPrv,Current Smoking,POINT (-85.6741278 36.3542499),39,2010
2019,TN,Tennessee,Jackson,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Age-adjusted prevalence,60.2,,,58.8,61.5,11864,47087,PREVENT,BPMED,AgeAdjPrv,Taking BP Medication,POINT (-85.6741278 36.3542499),39,2010
2019,TN,Tennessee,Jackson,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,45.8,,,44.3,47.2,11864,47087,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure,POINT (-85.6741278 36.3542499),39,2010
2020,TN,Tennessee,Jackson,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,%,Age-adjusted prevalence,10.1,,,8.8,11.5,11864,47087,HLTHOUT,COPD,AgeAdjPrv,COPD,POINT (-85.6741278 36.3542499),39,2010
2020,TN,Tennessee,Jackson,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,17,,,15.9,18.1,11864,47087,HLTHSTAT,MHLTH,CrdPrv,Mental Health,POINT (-85.6741278 36.3542499),39,2010
2020,TN,Tennessee,Jackson,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Age-adjusted prevalence,68.9,,,63.6,73.8,11864,47087,PREVENT,MAMMOUSE,AgeAdjPrv,Mammography,POINT (-85.6741278 36.3542499),39,2010
2020,TN,Tennessee,Jackson,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Crude prevalence,53.8,,,49.3,58.3,11864,47087,PREVENT,DENTAL,CrdPrv,Dental Visit,POINT (-85.6741278 36.3542499),39,2010
2020,SD,South Dakota,Jackson,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,%,Age-adjusted prevalence,15.7,,,14.8,16.6,3321,46071,HLTHSTAT,MHLTH,AgeAdjPrv,Mental Health,POINT (-101.6263229 43.677506),21,2681
2020,SD,South Dakota,Jackson,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults aged >=18 years,%,Age-adjusted prevalence,75.3,,,74.3,76.2,3321,46071,PREVENT,CHECKUP,AgeAdjPrv,Annual Checkup,POINT (-101.6263229 43.677506),21,2681
2020,SD,South Dakota,Jackson,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,%,Crude prevalence,4.8,,,4.5,5.1,3321,46071,HLTHOUT,KIDNEY,CrdPrv,Chronic Kidney Disease,POINT (-101.6263229 43.677506),21,2681
2020,SD,South Dakota,Jackson,BRFSS,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",%,Age-adjusted prevalence,24.2,,,19.8,28.7,3321,46071,PREVENT,COREW,AgeAdjPrv,Core preventive services for older women,POINT (-101.6263229 43.677506),21,2681
2019,SD,South Dakota,Jackson,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Crude prevalence,76.3,,,74.7,77.8,3321,46071,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening,POINT (-101.6263229 43.677506),21,2681
2020,SD,South Dakota,Jackson,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Age-adjusted prevalence,17,,,14.6,19.6,3321,46071,PREVENT,ACCESS2,AgeAdjPrv,Health Insurance,POINT (-101.6263229 43.677506),21,2681
2019,SD,South Dakota,Jackson,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Crude prevalence,32.9,,,32.0,33.9,3321,46071,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol,POINT (-101.6263229 43.677506),21,2681
2020,SD,South Dakota,Jackson,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Crude prevalence,16.6,,,14.4,19.1,3321,46071,PREVENT,ACCESS2,CrdPrv,Health Insurance,POINT (-101.6263229 43.677506),21,2681
2020,SD,South Dakota,Jackson,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,%,Crude prevalence,10.7,,,10.0,11.5,3321,46071,HLTHOUT,CHD,CrdPrv,Coronary Heart Disease,POINT (-101.6263229 43.677506),21,2681
2020,SD,South Dakota,Jackson,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,6,,,5.8,6.2,3321,46071,HLTHOUT,CANCER,AgeAdjPrv,Cancer (except skin),POINT (-101.6263229 43.677506),21,2681
2019,SD,South Dakota,Jackson,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Age-adjusted prevalence,37.3,,,36.2,38.3,3321,46071,HLTHOUT,BPHIGH,AgeAdjPrv,High Blood Pressure,POINT (-101.6263229 43.677506),21,2681
2020,SD,South Dakota,Jackson,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,15.2,,,14.3,16.0,3321,46071,HLTHSTAT,MHLTH,CrdPrv,Mental Health,POINT (-101.6263229 43.677506),21,2681
2020,SD,South Dakota,Jackson,BRFSS,Health Status,Fair or poor self-rated health status among adults aged >=18 years,%,Age-adjusted prevalence,23.1,,,21.0,25.2,3321,46071,HLTHSTAT,GHLTH,AgeAdjPrv,General Health,POINT (-101.6263229 43.677506),21,2681
2020,SD,South Dakota,Jackson,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,%,Age-adjusted prevalence,4.3,,,4.1,4.6,3321,46071,HLTHOUT,KIDNEY,AgeAdjPrv,Chronic Kidney Disease,POINT (-101.6263229 43.677506),21,2681
2020,SD,South Dakota,Jackson,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults aged >=18 years,%,Crude prevalence,76.5,,,75.6,77.4,3321,46071,PREVENT,CHECKUP,CrdPrv,Annual Checkup,POINT (-101.6263229 43.677506),21,2681
2020,SD,South Dakota,Jackson,BRFSS,Health Risk Behaviors,Binge drinking among adults aged >=18 years,%,Age-adjusted prevalence,18.9,,,18.3,19.6,3321,46071,RISKBEH,BINGE,AgeAdjPrv,Binge Drinking,POINT (-101.6263229 43.677506),21,2681
2020,SD,South Dakota,Jackson,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Crude prevalence,22.2,,,17.3,27.6,3321,46071,HLTHOUT,TEETHLOST,CrdPrv,All Teeth Lost,POINT (-101.6263229 43.677506),21,2681
2020,SD,South Dakota,Jackson,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,%,Crude prevalence,32.5,,,30.2,35.0,3321,46071,RISKBEH,LPA,CrdPrv,Physical Inactivity,POINT (-101.6263229 43.677506),21,2681
2020,SD,South Dakota,Jackson,BRFSS,Health Status,Physical health not good for >=14 days among adults aged >=18 years,%,Age-adjusted prevalence,15.1,,,14.0,16.1,3321,46071,HLTHSTAT,PHLTH,AgeAdjPrv,Physical Health,POINT (-101.6263229 43.677506),21,2681
2020,SD,South Dakota,Jackson,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Age-adjusted prevalence,26.4,,,25.5,27.3,3321,46071,HLTHOUT,ARTHRITIS,AgeAdjPrv,Arthritis,POINT (-101.6263229 43.677506),21,2681
2020,SD,South Dakota,Jackson,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Age-adjusted prevalence,33.8,,,32.6,35.0,3321,46071,RISKBEH,SLEEP,AgeAdjPrv,Sleep <7 hours,POINT (-101.6263229 43.677506),21,2681
2020,SD,South Dakota,Jackson,BRFSS,Health Outcomes,Depression among adults aged >=18 years,%,Age-adjusted prevalence,17.7,,,16.8,18.6,3321,46071,HLTHOUT,DEPRESSION,AgeAdjPrv,Depression,POINT (-101.6263229 43.677506),21,2681
2020,SD,South Dakota,Jackson,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,%,Age-adjusted prevalence,10.3,,,9.3,11.2,3321,46071,HLTHOUT,COPD,AgeAdjPrv,COPD,POINT (-101.6263229 43.677506),21,2681
2020,SD,South Dakota,Jackson,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Age-adjusted prevalence,49.5,,,46.3,52.7,3321,46071,PREVENT,DENTAL,AgeAdjPrv,Dental Visit,POINT (-101.6263229 43.677506),21,2681
2020,SD,South Dakota,Jackson,BRFSS,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",%,Crude prevalence,23.7,,,19.4,28.2,3321,46071,PREVENT,COREW,CrdPrv,Core preventive services for older women,POINT (-101.6263229 43.677506),21,2681
2020,SD,South Dakota,Jackson,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Age-adjusted prevalence,15,,,14.2,15.7,3321,46071,HLTHOUT,DIABETES,AgeAdjPrv,Diabetes,POINT (-101.6263229 43.677506),21,2681
2019,SD,South Dakota,Jackson,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,39.4,,,38.3,40.4,3321,46071,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure,POINT (-101.6263229 43.677506),21,2681
2020,SD,South Dakota,Jackson,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Age-adjusted prevalence,12.1,,,11.6,12.7,3321,46071,HLTHOUT,CASTHMA,AgeAdjPrv,Current Asthma,POINT (-101.6263229 43.677506),21,2681
2020,SD,South Dakota,Jackson,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,%,Crude prevalence,77.8,,,75.3,80.3,3321,46071,PREVENT,CERVICAL,CrdPrv,Cervical Cancer Screening,POINT (-101.6263229 43.677506),21,2681
2020,SD,South Dakota,Jackson,BRFSS,Health Risk Behaviors,Current smoking among adults aged >=18 years,%,Age-adjusted prevalence,31.8,,,28.7,34.6,3321,46071,RISKBEH,CSMOKING,AgeAdjPrv,Current Smoking,POINT (-101.6263229 43.677506),21,2681
2020,SD,South Dakota,Jackson,BRFSS,Health Status,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,24,,,21.9,26.2,3321,46071,HLTHSTAT,GHLTH,CrdPrv,General Health,POINT (-101.6263229 43.677506),21,2681
2020,SD,South Dakota,Jackson,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Crude prevalence,6,,,5.5,6.6,3321,46071,HLTHOUT,STROKE,CrdPrv,Stroke,POINT (-101.6263229 43.677506),21,2681
2020,SD,South Dakota,Jackson,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Crude prevalence,64.1,,,60.5,67.8,3321,46071,PREVENT,MAMMOUSE,CrdPrv,Mammography,POINT (-101.6263229 43.677506),21,2681
2020,SD,South Dakota,Jackson,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Age-adjusted prevalence,5.4,,,5.0,5.9,3321,46071,HLTHOUT,STROKE,AgeAdjPrv,Stroke,POINT (-101.6263229 43.677506),21,2681
2019,SD,South Dakota,Jackson,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Crude prevalence,76.7,,,75.7,77.6,3321,46071,PREVENT,BPMED,CrdPrv,Taking BP Medication,POINT (-101.6263229 43.677506),21,2681
2020,SD,South Dakota,Jackson,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Age-adjusted prevalence,24.4,,,19.2,30.5,3321,46071,HLTHOUT,TEETHLOST,AgeAdjPrv,All Teeth Lost,POINT (-101.6263229 43.677506),21,2681
2020,SD,South Dakota,Jackson,BRFSS,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",%,Age-adjusted prevalence,35.9,,,29.6,42.6,3321,46071,PREVENT,COREM,AgeAdjPrv,Core preventive services for older men,POINT (-101.6263229 43.677506),21,2681
2020,SD,South Dakota,Jackson,BRFSS,Health Risk Behaviors,Current smoking among adults aged >=18 years,%,Crude prevalence,30.2,,,27.5,32.8,3321,46071,RISKBEH,CSMOKING,CrdPrv,Current Smoking,POINT (-101.6263229 43.677506),21,2681
2020,SD,South Dakota,Jackson,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,Age-adjusted prevalence,60.2,,,57.5,63.0,3321,46071,PREVENT,COLON_SCREEN,AgeAdjPrv,Colorectal Cancer Screening,POINT (-101.6263229 43.677506),21,2681
2019,SD,South Dakota,Jackson,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Age-adjusted prevalence,75.2,,,73.5,76.7,3321,46071,PREVENT,CHOLSCREEN,AgeAdjPrv,Cholesterol Screening,POINT (-101.6263229 43.677506),21,2681
2020,SD,South Dakota,Jackson,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,Crude prevalence,62.4,,,59.7,65.0,3321,46071,PREVENT,COLON_SCREEN,CrdPrv,Colorectal Cancer Screening,POINT (-101.6263229 43.677506),21,2681
2020,SD,South Dakota,Jackson,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Crude prevalence,50,,,47.0,53.0,3321,46071,PREVENT,DENTAL,CrdPrv,Dental Visit,POINT (-101.6263229 43.677506),21,2681
2020,SD,South Dakota,Jackson,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,%,Age-adjusted prevalence,79.2,,,76.8,81.5,3321,46071,PREVENT,CERVICAL,AgeAdjPrv,Cervical Cancer Screening,POINT (-101.6263229 43.677506),21,2681
2020,SD,South Dakota,Jackson,BRFSS,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",%,Crude prevalence,35.3,,,28.8,42.0,3321,46071,PREVENT,COREM,CrdPrv,Core preventive services for older men,POINT (-101.6263229 43.677506),21,2681
2020,SD,South Dakota,Jackson,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,%,Crude prevalence,11.3,,,10.2,12.4,3321,46071,HLTHOUT,COPD,CrdPrv,COPD,POINT (-101.6263229 43.677506),21,2681
2020,SD,South Dakota,Jackson,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,12,,,11.5,12.6,3321,46071,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,POINT (-101.6263229 43.677506),21,2681
2020,SD,South Dakota,Jackson,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,16.4,,,15.6,17.2,3321,46071,HLTHOUT,DIABETES,CrdPrv,Diabetes,POINT (-101.6263229 43.677506),21,2681
2020,SD,South Dakota,Jackson,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,%,Age-adjusted prevalence,9.3,,,8.7,9.9,3321,46071,HLTHOUT,CHD,AgeAdjPrv,Coronary Heart Disease,POINT (-101.6263229 43.677506),21,2681
2020,SD,South Dakota,Jackson,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,38.7,,,37.4,39.9,3321,46071,HLTHOUT,OBESITY,CrdPrv,Obesity,POINT (-101.6263229 43.677506),21,2681
2019,SD,South Dakota,Jackson,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Age-adjusted prevalence,28,,,27.3,28.7,3321,46071,HLTHOUT,HIGHCHOL,AgeAdjPrv,High Cholesterol,POINT (-101.6263229 43.677506),21,2681
2020,SD,South Dakota,Jackson,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,6.9,,,6.6,7.2,3321,46071,HLTHOUT,CANCER,CrdPrv,Cancer (except skin),POINT (-101.6263229 43.677506),21,2681
2020,SD,South Dakota,Jackson,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Crude prevalence,29,,,28.0,29.9,3321,46071,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis,POINT (-101.6263229 43.677506),21,2681
2020,SD,South Dakota,Jackson,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Age-adjusted prevalence,63.9,,,60.1,67.5,3321,46071,PREVENT,MAMMOUSE,AgeAdjPrv,Mammography,POINT (-101.6263229 43.677506),21,2681
2020,SD,South Dakota,Jackson,BRFSS,Health Risk Behaviors,Binge drinking among adults aged >=18 years,%,Crude prevalence,17.8,,,17.2,18.5,3321,46071,RISKBEH,BINGE,CrdPrv,Binge Drinking,POINT (-101.6263229 43.677506),21,2681
2020,SD,South Dakota,Jackson,BRFSS,Health Outcomes,Depression among adults aged >=18 years,%,Crude prevalence,17.3,,,16.5,18.2,3321,46071,HLTHOUT,DEPRESSION,CrdPrv,Depression,POINT (-101.6263229 43.677506),21,2681
2020,SD,South Dakota,Jackson,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,39.5,,,38.1,40.7,3321,46071,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-101.6263229 43.677506),21,2681
2019,SD,South Dakota,Jackson,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Age-adjusted prevalence,60.4,,,59.3,61.5,3321,46071,PREVENT,BPMED,AgeAdjPrv,Taking BP Medication,POINT (-101.6263229 43.677506),21,2681
2020,SD,South Dakota,Jackson,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Crude prevalence,32.9,,,31.7,34.0,3321,46071,RISKBEH,SLEEP,CrdPrv,Sleep <7 hours,POINT (-101.6263229 43.677506),21,2681
2020,SD,South Dakota,Jackson,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,%,Age-adjusted prevalence,31.9,,,29.6,34.3,3321,46071,RISKBEH,LPA,AgeAdjPrv,Physical Inactivity,POINT (-101.6263229 43.677506),21,2681
2020,SD,South Dakota,Jackson,BRFSS,Health Status,Physical health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,15.7,,,14.6,16.8,3321,46071,HLTHSTAT,PHLTH,CrdPrv,Physical Health,POINT (-101.6263229 43.677506),21,2681
2020,OR,Oregon,Jackson,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,%,Crude prevalence,7.5,,,6.7,8.3,221844,41029,HLTHOUT,CHD,CrdPrv,Coronary Heart Disease,POINT (-122.6756106 42.4116214),12,2367
2020,OR,Oregon,Jackson,BRFSS,Health Status,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,15.1,,,13.1,17.5,221844,41029,HLTHSTAT,GHLTH,CrdPrv,General Health,POINT (-122.6756106 42.4116214),12,2367
2019,OR,Oregon,Jackson,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,31.3,,,30.0,32.5,221844,41029,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure,POINT (-122.6756106 42.4116214),12,2367
2020,OR,Oregon,Jackson,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,5.9,,,5.6,6.2,221844,41029,HLTHOUT,CANCER,AgeAdjPrv,Cancer (except skin),POINT (-122.6756106 42.4116214),12,2367
2020,OR,Oregon,Jackson,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Age-adjusted prevalence,32.1,,,30.7,33.5,221844,41029,RISKBEH,SLEEP,AgeAdjPrv,Sleep <7 hours,POINT (-122.6756106 42.4116214),12,2367
2020,OR,Oregon,Jackson,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,Age-adjusted prevalence,69.6,,,66.4,72.4,221844,41029,PREVENT,COLON_SCREEN,AgeAdjPrv,Colorectal Cancer Screening,POINT (-122.6756106 42.4116214),12,2367
2020,OR,Oregon,Jackson,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,26.8,,,25.5,28.1,221844,41029,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-122.6756106 42.4116214),12,2367
